"","ml_par1","ci_par1_2_5","ci_par1_97_5","ml_par2","ci_par2_2_5","ci_par2_97_5"
"Logistic model",0.009,0.004,0.11,10000,9861,10400
"Logistic model with taphonomy",0.009,0.004,0.115,10000,9934,12860
