site_name,context,material,lab_ref,c14_bp,error
Vallermyrene 2,Cooking pit (ID 545),Charcoal (Betula),Ua-45249,1846,31
Vallermyrene 2,Cooking pit (ID 437),Charcoal (Betula),Ua-45248,1803,31
Vallermyrene 2,Undefined feature (ID 3351),Charcoal (Betula/Corylus/Sorbus),Ua-45252,1654,30
Vallermyrene 2,Post hole (ID 4468),Charcoal (Pinus),Ua-45254,1593,30
Vallermyrene 2,Cooking pit/fireplace (ID 1043),Charcoal (Betula),Ua-45250,1560,32
Vallermyrene 4a,"Quadrant (894x242yNE, layer 1)","Bone, burnt (mammal)",Ua-45169,6489,50
Vallermyrene 4a,"Quadrant (892x243yNW, layer 3)","Bone, burnt (mammal)",Ua-45170,6381,37
Vallermyrene 4b,Refuse/storage pit (ID 896),Charcoal (Pinus),Ua-45172,6197,40
Vallermyrene 4b,Refuse/storage pit (ID 896),Charcoal (Pinus),Ua-45171,6067,41
Viulsrød 2,Cooking pit (ID 300),Charcoal (Corylus),LuS-14694,2430,35
Viulsrød 2,Cooking pit (ID 100),Charcoal (Alnus),LuS-14698,2400,40
Viulsrød 2,Cooking pit (ID 400),Charcoal (Betula),LuS-14695,2190,35
Viulsrød 2,Cooking pit (ID 500),Charcoal (Fraxinus),LuS-14696,2180,35
Viulsrød 2,Cooking pit/fireplace (ID 600),Charcoal (populus),LuS-14697,1905,40
,Settlement Site,Charcoal (Fraxinus),TRa-1353,3070,30
